广告投放报表(2018-06-01至2018-06-13),,,,,,,,,
日期,投放,投放ID,投放,订单,显示数,点击数,(%)点击率,唯一显示数,唯一点击数
2018-06-01,hp-mpu-1-offshore,605984,,offshore-test,1,0,0,1,0
2018-06-01,hp-mpu-2-offshore,605986,,offshore-test,1,0,0,1,0
2018-06-01,mobile-顶通-补投,606677,,BJ-18-030,0,1,0,0,1
2018-06-01,mobile-顶通-补投,606651,,BJ-18-026,0,1,0,0,1
2018-06-01,mobile-全屏-3,606613,,BJ-18-026,0,22,0,0,19
2018-06-01,mobile-信息流,606673,,BJ-18-030,0,4,0,0,4
2018-06-01,pc-hp-mpu2,606689,,BJ-18-002,25525,29,0.11,21975,11
2018-06-01,pc-ros-底通,606690,,BJ-18-002,103759,66,0.06,50653,21
2018-06-01,打底广告-textlink3-招聘_FT中文网-市场_Text_Link_3,606200,,打底广告-textlink3-招聘,122422,51,0.04,83929,51
总计,,,,,12162740,11219,0.09,9342923,9627
